Composition,Alloy_class,Dataset,temperature(K),Citation,log_H2_W% (max)
Pd0.9Rh0.1,SS,HydPark,298,DOE_data_url,0.5306282510621704
Ti0.16Zr0.05Cr0.22V0.57,SS,HydPark,303,DOE_data_url,1.5040773967762742
Ti0.21Cr0.29V0.50,SS,HydPark,303,DOE_data_url,1.410986973710262
Ti0.23Mn0.36V0.41,SS,HydPark,313,DOE_data_url,1.33500106673234
Ti0.25V0.35Cr0.40,SS,HydPark,313,DOE_data_url,1.2809338454620642
Ti0.278Cr0.422V0.25Fe0.05,SS,HydPark,293,DOE_data_url,1.252762968495368
Ti0.32Cr0.29V0.39,SS,HydPark,303,DOE_data_url,1.3609765531356006
Ti0.33V0.37Mn0.30,SS,HydPark,353,DOE_data_url,1.1939224684724346
Ti0.33V0.37Mn0.30,SS,HydPark,373,DOE_data_url,1.3862943611198906
Ti0.346V0.10Cr0.554,SS,HydPark,313,DOE_data_url,1.252762968495368
Ti0.375V0.075Cr0.55,SS,HydPark,313,DOE_data_url,1.33500106673234
Ti0.3Cr0.5V0.2,SS,HydPark,293,DOE_data_url,1.308332819650179
Ti0.435V0.49Fe0.075,SS,HydPark,313,DOE_data_url,1.5686159179138452
V0.37Ti0.33Mn0.3,SS,HydPark,298,DOE_data_url,1.2809338454620642
V0.49Ti0.30Ni0.21,SS,HydPark,333,DOE_data_url,1.0296194171811581
V0.49Ti0.43Fe0.075,SS,HydPark,423,DOE_data_url,1.589235205116581
V0.55Ti0.30Ni0.15,SS,HydPark,333,DOE_data_url,1.252762968495368
V0.61Ti0.30Ni0.09,SS,HydPark,333,DOE_data_url,1.1314021114911006
V0.667Zr0.111Ti0.111Fe0.111,SS,HydPark,313,DOE_data_url,0.9745596399981308
V0.667Zr0.111Ti0.111Mn0.111,SS,HydPark,313,DOE_data_url,0.9932517730102833
V0.667Zr0.111Ti0.111Ni0.111,SS,HydPark,313,DOE_data_url,1.0260415958332743
V0.67Ti0.30Ni0.03,SS,HydPark,333,DOE_data_url,1.2809338454620642
V0.690Ti0.173Ni0.112Co0.009Nb0.008Ta0.008,SS,HydPark,293,DOE_data_url,1.3862943611198906
V0.855Cr0.145,SS,HydPark,323,DOE_data_url,1.1939224684724346
V0.85Ti0.15,SS,HydPark,303,DOE_data_url,1.589235205116581
V0.87Ti0.13,SS,HydPark,303,DOE_data_url,1.5260563034950492
V0.8Nb0.2,SS,HydPark,318,DOE_data_url,1.410986973710262
V0.8Ti0.2,SS,HydPark,353,DOE_data_url,1.3862943611198906
V0.8Ti0.2,SS,HydPark,383,DOE_data_url,1.4816045409242156
V0.983Ta0.013,SS,HydPark,313,DOE_data_url,1.4539530095937052
V0.991Ni0.009,SS,HydPark,313,DOE_data_url,1.5303947050936475
V0.992Ti0.008,SS,HydPark,313,DOE_data_url,1.5810384379124023
V0.99Ag0.01,SS,HydPark,313,DOE_data_url,1.547562508716013
V0.99Al0.01,SS,HydPark,313,DOE_data_url,1.5040773967762742
V0.99Au0.01,SS,HydPark,313,DOE_data_url,1.5260563034950492
V0.99B0.01,SS,HydPark,313,DOE_data_url,1.551808799597464
V0.99Co0.01,SS,HydPark,313,DOE_data_url,1.4816045409242156
V0.99Cr0.01,SS,HydPark,313,DOE_data_url,1.5040773967762742
V0.99Cu0.01,SS,HydPark,313,DOE_data_url,1.5040773967762742
V0.99Fe0.01,SS,HydPark,313,DOE_data_url,1.5040773967762742
V0.99Ga0.01,SS,HydPark,313,DOE_data_url,1.4816045409242156
V0.99Hf0.01,SS,HydPark,313,DOE_data_url,1.5260563034950492
V0.99In0.01,SS,HydPark,313,DOE_data_url,1.5260563034950492
V0.99Ir0.01,SS,HydPark,313,DOE_data_url,1.4816045409242156
V0.99Mo0.01,SS,HydPark,313,DOE_data_url,1.4816045409242156
V0.99Nb0.01,SS,HydPark,313,DOE_data_url,1.5040773967762742
V0.99Ni0.01,SS,HydPark,313,DOE_data_url,1.5260563034950492
V0.99Os0.01,SS,HydPark,313,DOE_data_url,1.4816045409242156
V0.99Pd0.01,SS,HydPark,313,DOE_data_url,1.5040773967762742
V0.99Pt0.01,SS,HydPark,313,DOE_data_url,1.1314021114911006
V0.99Re0.01,SS,HydPark,313,DOE_data_url,1.4816045409242156
V0.99Rh0.01,SS,HydPark,313,DOE_data_url,1.4816045409242156
V0.99Ru0.01,SS,HydPark,313,DOE_data_url,1.4816045409242156
V0.99Si0.01,SS,HydPark,313,DOE_data_url,1.4586150226995167
V0.99Sn0.01,SS,HydPark,313,DOE_data_url,1.4816045409242156
V0.99Ta0.01,SS,HydPark,313,DOE_data_url,1.5040773967762742
V0.99Ti0.01,SS,HydPark,313,DOE_data_url,1.4816045409242156
V0.99W0.01,SS,HydPark,313,DOE_data_url,1.5040773967762742
V0.99Zr0.01,SS,HydPark,313,DOE_data_url,1.5686159179138452
V0.9Ti0.1,SS,HydPark,303,DOE_data_url,1.4586150226995167
V0.8Mo0.2,SS,Extracted,293,https://doi.org/10.1134/S2075113314010134,1.308332819650179
V0.8Cr0.2,SS,Extracted,300,https://doi.org/10.1134/S0020168513020180,1.0647107369924282
V0.9Cr0.1,SS,Extracted,298,http://dx.doi.org/10.1134/S0020168513020180,1.5260563034950492
V0.778Zr0.074Ti0.074Ni0.074,SS,Extracted,313,https://doi.org/10.1016/S0925-8388(99)00325-4,1.0986122886681098
V0.95Mo0.05,SS,Extracted,293,http://dx.doi.org/10.1134/S2075113314010134,1.4816045409242156
Mg1.0Ni1.0V1.0,LEA,Extracted,298,https://doi.org/10.1016/S0925-8388(03)00229-9,1.1939224684724346
Zr1Fe2.00V0.05,LEA,Extracted,323,https://doi.org/10.1016/j.jallcom.2014.12.045,1.007957920399979
Zr1Fe1.95V0.10,LEA,Extracted,323,https://doi.org/10.1016/j.jallcom.2014.12.045,0.9477893989335261
Zr1Fe1.9Al0.1,LEA,Extracted,323,https://doi.org/10.1016/j.ijhydene.2021.12.110,1.0296194171811581
Zr1Fe1.90V0.15,LEA,Extracted,323,https://doi.org/10.1016/j.jallcom.2014.12.045,0.9707789171582248
Zr0.75Y0.25Fe2,LEA,Extracted,298,https://doi.org/10.1016/j.ijhydene.2021.03.012,0.9745596399981308
Zr0.7Y0.3Fe2,LEA,Extracted,298,https://doi.org/10.1016/j.ijhydene.2021.03.012,0.9969486348916096
Zr1Fe1.85V0.20,LEA,Extracted,323,https://doi.org/10.1016/j.jallcom.2014.12.045,0.9969486348916096
Zr1.05Fe1.85Cr0.05V0.1,LEA,Extracted,303,https://doi.org/10.1016/j.jallcom.2019.07.170,0.9242589015233319
Zr1.05Fe1.85Cr0.1V0.05,LEA,Extracted,303,https://doi.org/10.1016/j.jallcom.2019.07.170,0.9321640810304452
Zr1Fe1.8V0.2,LEA,Extracted,298,https://doi.org/10.1016/j.jallcom.2019.07.170,0.832909122935104
Zr1.05Fe1.85Cr0.075V0.075,LEA,Extracted,303,https://doi.org/10.1016/j.jallcom.2019.07.170,0.9321640810304452
Zr1Fe1.8Ga0.2,LEA,Extracted,323,https://doi.org/10.1016/j.ijhydene.2021.12.110,0.9282193027394289
Zr0.6Y0.4Fe2,LEA,Extracted,298,https://doi.org/10.1016/j.ijhydene.2021.03.012,1.0224509277025458
Ti1Cr1.75Mn0.25,LEA,Extracted,303,https://doi.org/10.1016/j.renene.2022.07.113,1.0043016091968684
Zr1.05Fe1.75Cr0.25,LEA,Extracted,303,https://doi.org/10.1016/j.jallcom.2019.07.170,0.8960880245566356
Zr1.05Fe1.7Cr0.3,LEA,Extracted,303,https://doi.org/10.1016/j.jallcom.2019.07.170,0.8796267475025635
Zr1Fe1.6 V0.4,LEA,Extracted,298,https://doi.org/10.1016/j.jallcom.2019.07.170,0.9555114450274363
Ti0.9Zr0.1Cr1.1Fe0.9,MEA,Extracted,223,https://doi.org/10.1016/j.jallcom.2021.161629,0.9360933591703349
Ti0.99Zr0.11Cr1Mn1,MEA,Extracted,268,https://doi.org/10.1016/j.ijhydene.2008.04.042,1.1600209167967532
Ti0.925Zr0.125Cr0.9Fe1.1,MEA,Extracted,223,https://doi.org/10.1016/j.jallcom.2021.161629,0.9707789171582248
Ti0.95Zr0.15Cr1Fe1,MEA,Extracted,223,https://doi.org/10.1016/j.jallcom.2021.161629,0.9555114450274363
Ti0.85Zr0.15Cr1Fe1,MEA,Extracted,223,https://doi.org/10.1016/j.jallcom.2021.161629,1.0224509277025458
Ti0.875Zr0.175Cr1.1Fe0.9,MEA,Extracted,223,https://doi.org/10.1016/j.jallcom.2021.161629,1.0116009116784799
Ti0.8Zr0.2Cr0.9Fe1.1,MEA,Extracted,223,https://doi.org/10.1016/j.jallcom.2021.161629,0.9783261227936076
Ti0.9Zr0.2Cr0.9Fe1.1,MEA,Extracted,223,https://doi.org/10.1016/j.jallcom.2021.161629,0.9820784724121582
Ti0.8Zr0.2Mn1Cr1,MEA,Extracted,298,https://doi.org/10.1016/j.jallcom.2007.01.066,0.9783261227936076
